,alpha,delta,u,g,r,i,z,run_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
20424,176.268553005359,33.432292927676,21.83964,19.87187,18.8392,18.3688,18.09703,4576,1,399,1.1553015766489256e+19,GALAXY,0.1312984,10261,58462,570
88702,227.751962030348,41.8324497606407,25.98832,23.93829,21.41312,20.34021,19.5577,3664,5,107,9.592801209263348e+18,QSO,0.5425886,8520,58191,487
149,169.863745026212,27.7983851231628,24.98477,21.998,20.30022,18.3646,17.31518,5112,6,392,2.495097611325827e+18,STAR,7.991327e-05,2216,53795,376
1761,24.1256712165619,7.71411154678635,23.14042,22.40757,20.6306,19.69073,19.23944,5065,5,34,5.126228691731633e+18,GALAXY,0.5221394,4553,55584,23
63120,35.9907477694201,-2.73277673995951,25.9074,22.95846,21.38795,20.36139,19.705,7778,2,557,8.818141919588932e+18,GALAXY,0.5420848,7832,56904,341
69161,218.256291816087,12.4111396121925,21.89007,20.05252,18.43,17.86958,17.51098,3971,3,130,6.150792941063657e+18,GALAXY,0.3130143,5463,56003,6
64883,141.020082508033,20.2040988664174,24.48617,22.06024,20.47832,19.49809,19.01712,5080,3,185,6.493240514519e+18,GALAXY,0.62247,5767,56245,639
2495,316.496406375878,1.0288688379375,20.25777,18.18473,17.12617,16.6809,16.3639,4187,6,59,1.109126073112619e+18,GALAXY,0.1181542,985,52431,417
80296,82.7988127597999,60.9988270039106,20.27998,18.45847,17.52172,17.0935,16.85732,5060,1,59,2.589570672145492e+18,STAR,-4.687022e-05,2300,53682,3
19447,234.757331809695,31.3455531948456,19.12679,17.93776,17.42463,17.14761,17.01897,3919,5,199,1.5640207084916838e+18,GALAXY,0.05454778,1389,53135,530
41331,356.4423054815,2.76120378083774,25.19936,21.86045,21.4492,21.13551,20.3465,7712,4,306,1.2701347084290513e+19,QSO,2.432654,11281,58424,255
14888,141.710405631688,14.5396829034081,23.04639,22.00385,20.59193,19.59181,19.10101,5935,3,169,5.978617941033507e+18,GALAXY,0.5457475,5310,55983,325
88636,34.5242062388174,-1.01994512238528,20.65543,19.283,18.57708,18.1978,18.00198,4874,1,651,1.7530281344809308e+18,GALAXY,0.1402281,1557,53301,7
94892,209.421979332915,51.0530042217113,20.5605,18.67909,17.56956,17.1117,16.74978,3918,6,107,1.8803983312266465e+18,GALAXY,0.2100051,1670,54553,529
92731,215.689600276866,27.393531993921,20.26185,18.45844,17.45709,17.03152,16.72991,4649,6,206,2.398182534727887e+18,GALAXY,0.1389539,2130,53881,57
29130,142.904943992106,-0.903859499212632,19.48271,19.33539,19.10367,19.12061,19.04923,756,1,181,5.3601085785167674e+17,QSO,1.060393,476,52314,300
79022,36.7516972899793,-9.75336633070589,21.44388,20.32238,19.75202,19.55175,19.47621,1729,1,324,2.3273044393895137e+18,STAR,-0.0003391321,2067,53738,252
84936,193.158567443954,6.33704561861856,18.3132,16.73632,15.91756,15.5174,15.21269,3841,1,189,2.0176685049158308e+18,GALAXY,0.08059498,1792,54270,203
16821,118.060829879163,38.1449840084746,19.75563,18.32907,17.615,17.21822,16.94101,2076,5,90,6.114805063656673e+17,GALAXY,0.08529844,543,52017,425
36733,135.023342150009,33.1172419762918,19.92164,18.0955,17.16763,16.69935,16.34253,3606,4,78,1.4311752370214932e+18,GALAXY,0.07419549,1271,52974,569
15602,322.630164710833,3.09523643956902,25.3566,23.24891,21.52091,20.44981,19.79461,7712,6,80,1.2742938310550508e+19,GALAXY,0.6139265,11318,58419,11
28533,28.970614371043,4.29263440923614,19.50917,19.52843,19.40732,19.01052,18.8398,7727,3,259,9.83833726079339e+18,QSO,1.97974,8738,57402,814
69769,215.896384500399,21.7704186545547,22.13904,21.49656,19.97207,19.16322,18.79785,4678,3,97,6.640790573564582e+18,GALAXY,0.4733856,5898,56045,847
11405,15.7075003133625,-9.98771865589592,19.97889,18.1678,17.17006,16.68867,16.34484,1740,3,125,7.408526200668426e+17,GALAXY,0.1492853,658,52146,38
96852,180.821733625337,46.8103923915786,22.45013,21.69505,20.20214,19.2526,18.79716,3716,2,19,7.477264391030986e+18,GALAXY,0.5532714,6641,56383,593
16130,225.757592893701,41.6358224438452,22.13413,21.93489,21.64723,21.4378,20.86196,3664,3,99,9.595022497662915e+18,QSO,2.060514,8522,58193,376
19792,202.88192305029,32.5098886620712,21.93592,21.0625,20.75845,20.69447,20.88706,4576,1,548,1.1548373629470527e+19,STAR,0.0002214283,10257,58526,66
89577,226.863179514037,42.256086220819,19.07196,18.06532,17.74294,17.498,17.39907,3664,5,101,1.4536792124256686e+18,GALAXY,0.05085794,1291,52738,518
40163,13.3317956153464,-10.4033028934956,16.89695,16.05257,15.76134,15.64895,15.53158,1740,2,110,7.3976932675567e+17,GALAXY,0.01469028,657,52177,193
31776,225.541649317492,47.2865906377869,19.77585,17.91576,16.98556,16.56077,16.24412,3180,3,125,1.181110829873916e+18,GALAXY,0.0885149,1049,52751,152
25330,165.964981727377,28.8307174678169,24.82114,23.00321,23.26768,22.13583,21.61124,5061,4,338,1.1797182934397768e+19,GALAXY,0.7847044,10478,58171,13
79156,236.014208700246,62.6713161096584,24.20849,21.84336,20.20346,19.23422,18.91986,5362,2,52,7.658554618222499e+18,GALAXY,0.5070468,6802,56456,667
51685,154.702822887876,41.395406425663,21.02501,20.49832,20.43881,20.31903,20.27533,3560,5,305,5.130850214048193e+18,QSO,1.586177,4557,55588,452
75498,353.965834602385,-0.642285872509994,22.12381,21.19407,21.09132,21.15329,20.89742,4263,2,75,1.0309013460319754e+19,QSO,2.729994,9156,58039,996
4727,318.064920800728,0.863097254195273,21.20251,21.14745,21.04534,21.28723,23.7511,4187,6,69,5.788335630120671e+18,STAR,-3.666267e-05,5141,55746,306
85198,130.21018849996,49.1548627269584,23.65242,22.48373,21.53027,21.20977,21.21994,2074,6,90,5.81092070219136e+18,GALAXY,0.4275383,5161,55968,550
35795,334.816184093166,5.80732990465611,21.91975,21.16913,20.91784,20.78299,20.67831,5655,2,189,4.984378781261388e+18,STAR,-0.0005098235,4427,56107,72
12256,188.473018760363,46.7606446313056,21.94129,20.3345,19.80958,19.75478,19.18962,3699,2,37,7.506437458659399e+18,STAR,-0.0004198433,6667,56412,228
35718,198.797533821911,46.7651815602853,25.04515,20.47803,18.79694,18.20709,17.7824,3699,4,84,7.459231025996257e+18,GALAXY,0.3283474,6625,56386,524
70551,5.32334529206051,-7.43381223376232,22.0839,21.3266,20.56878,19.79886,19.34567,8095,4,335,8.050222652634454e+18,GALAXY,0.5296202,7150,56597,139
54374,309.907642652523,-6.42288376242615,17.62596,15.77577,14.9301,14.55832,14.22196,1737,2,18,7.138466906453053e+17,GALAXY,0.02839776,634,52164,95
39691,0.393214493971641,27.593275639992,22.38218,19.78546,17.95198,17.31614,16.8703,4135,3,287,7.330743749025488e+18,GALAXY,0.3161696,6511,56540,34
93702,173.040712196818,-8.29004272590401,18.46764,17.49587,17.09367,16.9102,16.84415,5973,1,16,3.221203833535359e+18,STAR,-0.0001510577,2861,54583,15
73691,209.417374821494,63.7983789399612,20.39573,20.41856,20.11083,20.08611,19.9714,2065,6,183,7.680020657602845e+18,QSO,1.125635,6821,56396,936
98070,333.168301224188,31.4854325295629,25.34326,21.96137,20.01757,19.13624,18.59458,8156,5,84,6.703785999762479e+18,GALAXY,0.4942326,5954,56462,647
575,128.67013862043,1.66857038717735,24.70283,22.33459,20.53897,19.52479,19.12702,1907,4,40,5.397644237616732e+18,GALAXY,0.5137759,4794,55647,291
84610,2.37363070792912,28.0734117425284,21.73398,22.38141,20.45995,19.4788,19.11953,8103,5,110,8.033338001768863e+18,GALAXY,0.5552135,7135,56564,153
61769,7.61225077011443,3.55556744950637,25.72586,20.89762,19.12921,18.46417,18.06845,7712,6,380,4.842536828493126e+18,GALAXY,0.3681432,4301,55810,150
32260,358.24503865631,13.0229283597615,21.80341,21.48377,21.41349,21.06421,20.74789,7787,5,190,6.918677572663664e+18,QSO,1.865333,6145,56266,82
82199,164.146662315363,40.4012293670388,19.33474,18.42618,18.0786,17.98181,17.9428,3647,3,161,5.207448791847033e+18,STAR,-0.0005190916,4625,55632,588
36290,155.495729680537,18.0093333755466,24.90214,22.95113,21.00865,20.0242,19.5621,5935,5,260,6.624909777385576e+18,GALAXY,0.6105736,5884,56046,417
78449,137.929715282006,35.3448430154361,22.97343,22.34859,20.4883,19.24685,18.81955,3560,6,208,5.228814231785462e+18,GALAXY,0.6068553,4644,55922,491
60055,193.928941962192,56.3570156041343,22.84951,23.24924,21.57735,20.33874,19.62744,3712,2,122,9.267284744680528e+18,GALAXY,0.7894756,8231,58199,9
45948,196.404873978453,46.5862076026992,22.38936,22.77183,21.09546,20.38162,19.64628,3699,3,74,8.346323885659281e+18,GALAXY,0.5880163,7413,56769,101
28177,144.950849003187,18.1176621298662,24.00258,22.84545,21.89374,21.48253,20.80263,5194,5,212,1.0754651841474351e+19,GALAXY,0.7532759,9552,57814,203
84463,241.518908122619,61.46247011684,22.09852,19.3943,17.91211,17.29248,16.94884,6122,3,77,7.654104620273522e+18,GALAXY,0.2772547,6798,56485,862
578,349.387068008833,21.63116724556,23.05693,21.73839,21.62845,21.56287,20.94722,7917,3,39,6.894082596239858e+18,STAR,-0.0003421121,6123,56217,718
30959,225.278864506711,47.2368803047776,20.26766,18.32015,17.38582,16.93957,16.61607,3180,3,124,1.1811182515774031e+18,GALAXY,0.08793135,1049,52751,179
64290,41.3563954955742,-2.02438290705232,22.59932,22.54315,22.0316,21.66353,20.81137,7778,3,593,1.0483363563926e+19,GALAXY,0.7151218,9311,57743,398
14531,152.514550814997,5.22008472104223,20.6255,18.59443,17.40494,16.94058,16.57982,2986,1,226,6.452965414011146e+17,GALAXY,0.1764861,573,52325,567
17933,124.198189316588,40.3797286608238,23.22474,22.20336,20.29641,19.42108,18.80991,2243,4,59,4.285258425808738e+18,GALAXY,0.5820473,3806,55505,303
33608,161.936210475461,27.7037821889208,23.72232,22.85064,22.20097,21.52402,21.47067,5061,3,314,1.1788212568094691e+19,GALAXY,0.6197045,10470,58130,147
49959,196.026018221699,46.2488087840099,21.68973,19.40954,17.9163,16.40635,15.53959,3699,2,72,8.34633295663021e+18,STAR,-0.0001710865,7413,56769,134
66598,254.738853555549,48.4829229598968,26.00806,21.8778,20.24973,19.32415,18.75416,5362,4,169,7.114800488487606e+18,GALAXY,0.5226952,6319,56452,869
99089,180.920370135642,46.8295219770447,22.46373,23.08794,20.929,19.7951,19.40746,3716,2,20,7.47726329151936e+18,GALAXY,0.6327272,6641,56383,589
34451,121.197500419978,46.3770050124465,22.22018,21.24169,20.8194,20.64668,20.80692,1350,3,114,8.246180644264368e+18,STAR,-0.0005999836,7324,56935,326
34080,53.6247077858079,0.629019858831417,22.87826,20.08737,18.68871,18.08187,17.77553,4849,5,813,1.196971557298137e+18,STAR,5.520925e-06,1063,52591,509
63587,120.319123331339,38.9326125967095,25.12788,21.59064,19.9606,19.03206,18.63324,1889,3,101,4.280849384567233e+18,GALAXY,0.5492514,3802,55528,647
4293,0.622729437150213,-4.52443792156933,18.94123,17.87309,17.82876,17.85077,17.88336,6361,3,26,2.954479901417171e+18,STAR,-0.0009159714,2624,54380,431
69102,217.442663316528,46.3166546881629,19.27111,17.73861,17.05699,16.78458,16.64732,2964,6,467,3.3012823650992394e+18,STAR,-0.0004636324,2932,54595,523
86411,332.409476451417,31.2882462482447,24.5958,24.83996,23.7701,21.43427,19.72324,8156,5,79,8.678655138460883e+18,GALAXY,0.5761606,7708,57664,795
99476,167.710925840307,45.2398305008763,21.64385,21.12179,20.97402,20.68537,20.36397,3530,1,306,8.32379269304735e+18,QSO,2.066832,7393,56749,53
53929,238.782414642203,18.5903335682036,20.88713,18.6089,17.33906,16.82925,16.44705,4649,3,359,2.443357344243935e+18,GALAXY,0.2004819,2170,53875,562
87070,169.802254579728,18.524745636718,21.03927,20.18769,19.88971,19.77333,19.7555,5313,2,71,3.233598627276417e+18,STAR,-0.0001133927,2872,54533,51
65083,217.048838453229,16.0496026356109,20.32865,18.37646,17.21657,16.72578,16.34733,5314,1,260,3.0929474455507046e+18,GALAXY,0.1413265,2747,54233,365
30712,146.812366840314,16.4308865919969,20.93114,18.17898,17.08293,16.61152,16.33659,5935,5,204,5.989958579108731e+18,STAR,0.0006558431,5320,55999,622
49182,222.580447932569,43.1522756946355,23.66235,22.11189,20.47909,19.48207,18.98886,2964,3,498,6.815244586757413e+18,GALAXY,0.5249757,6053,56091,627
57234,239.246026743126,10.6650032359778,24.31309,21.40351,20.51597,19.76681,19.33627,5322,4,197,5.496677800927844e+18,GALAXY,0.2004493,4882,55721,125
15663,247.188453836065,14.6366420401549,23.67735,21.01983,19.19077,18.58339,18.17727,4649,3,419,4.5666979407863706e+18,GALAXY,0.3484297,4056,55357,174
19966,40.0834689058743,0.92248870789831,18.03083,16.91169,16.53751,16.37685,16.35486,7717,1,597,7.950296820251628e+17,STAR,-2.558464e-05,706,52199,525
91912,231.841833222526,29.5835088816847,21.53106,20.88545,20.46807,20.34299,20.00232,3900,3,638,4.367372973449173e+18,STAR,-0.0008162881,3879,55244,26
91957,200.586416134711,19.250124297016,20.79122,20.3756,20.41488,20.36405,20.12657,5308,3,60,6.605916263570232e+18,QSO,1.664633,5867,56034,951
81346,257.859476930365,33.0989405153848,18.27189,18.30135,18.68435,18.95936,19.25997,2335,4,92,5.621639221855148e+18,STAR,1.917326e-05,4993,55738,76
55325,121.598078375044,23.6551163647684,23.7463,23.6617,21.95515,20.27635,19.85579,3560,3,86,5.031814182691166e+18,STAR,0.0001122249,4469,55863,609
29857,128.645408024196,29.4645595645096,24.92447,23.02635,22.02594,20.83474,19.89321,3606,4,34,1.2006706974614116e+19,STAR,-6.958338e-05,10664,58464,401
71222,228.475155402086,59.8318098111907,26.05114,22.2039,20.42711,19.49913,18.83708,2206,3,74,7.859980475288541e+18,GALAXY,0.5277371,6981,56443,266
52458,177.45218323341,23.0865269367993,22.96309,20.57292,18.83869,18.27258,17.94002,5183,5,303,7.231834977717213e+18,GALAXY,0.3448748,6423,56313,654
88345,120.22495066299,9.7735456698322,21.72903,19.55395,18.09655,17.51649,17.10026,5194,3,42,6.185865710272797e+18,GALAXY,0.3179493,5494,55857,624
82363,220.808752980974,46.7136750220893,23.484,23.01471,22.03242,20.59789,19.90975,3838,4,132,9.56026060108912e+18,GALAXY,0.6893142,8491,57488,889
65349,251.462691213598,41.2824088681402,21.58833,21.49985,21.33246,21.28932,21.2221,2335,4,28,9.603066521711827e+18,QSO,1.175883,8529,58013,968
59649,329.374980532196,4.07828418263171,22.85553,20.44364,18.77093,18.1478,17.63396,7765,4,118,4.611731740452739e+18,GALAXY,0.3666264,4096,55501,166
44952,26.4890726924275,-5.03929993216167,22.61529,21.16518,21.09957,21.14683,21.10091,7881,3,198,7.937657125681256e+18,STAR,-0.0006490072,7050,56573,228
39525,350.208317703816,-3.3775195249013,23.1238,21.90829,20.51975,19.61993,19.5041,7778,1,251,4.90790911230898e+18,GALAXY,0.5768723,4359,55533,405
13935,161.266081608342,39.9282142955818,25.00687,22.54625,20.67524,19.63615,19.22067,3647,3,146,5.216297936103953e+18,GALAXY,0.5582796,4633,55620,13
93780,191.680875751872,46.1809028617027,21.436,21.40685,21.13542,21.05917,22.07125,3698,1,200,8.354424812186392e+18,QSO,1.205966,7420,56753,900
89884,185.986791991025,6.41576923704799,23.18606,21.16061,19.47155,18.61403,18.19364,3841,1,141,5.441629101311153e+18,GALAXY,0.461842,4833,55679,563
81143,212.280176915922,48.3292985706164,20.23708,20.00112,19.76571,19.89839,19.73598,3838,2,93,7.595390147933526e+18,QSO,1.034363,6746,56386,252
95799,180.189846016993,36.4488183093599,23.2802,20.48016,18.84357,18.24527,17.81684,4504,1,146,5.23569909412373e+18,GALAXY,0.3359502,4650,55648,962
89404,220.904752778906,44.5515607157938,23.13966,22.64618,20.52805,19.40214,18.98963,3664,5,69,6.819849341588756e+18,GALAXY,0.6069075,6057,56099,995
55223,215.291605789596,56.1827448769373,18.48252,16.73785,16.11488,15.90612,15.78294,3225,3,59,2.7551192038276076e+18,STAR,-0.0004664045,2447,54498,153
73645,258.876839269758,31.397947932318,18.99273,17.33314,16.4946,16.0371,15.69409,2335,4,105,1.1012739109906289e+18,GALAXY,0.07925673,978,52441,523
66293,12.1618838933982,3.666228860279,25.07692,23.15876,20.85767,19.82466,19.23027,7712,6,410,4.847057190622878e+18,GALAXY,0.5383037,4305,55509,211
65539,237.86905992816,28.6837554962013,19.51428,18.26078,17.62779,17.26482,17.07062,3919,3,223,1.5662238495806853e+18,GALAXY,0.08534442,1391,52817,353
28110,115.624669048961,20.4508825335187,26.45176,21.94807,20.51012,19.66037,19.17472,3605,5,39,5.044058889370491e+18,GALAXY,0.4311897,4480,55591,99
41928,155.43949387928,18.4669072624501,23.83006,22.1361,20.34634,19.44601,18.9466,5935,6,260,6.624902080804182e+18,GALAXY,0.4993376,5884,56046,389
86546,235.334359599337,11.7116295067207,23.37938,20.56939,20.19882,19.96411,20.10063,5322,4,171,5.501277333213174e+18,QSO,3.075185,4886,55737,474
82585,180.052829156795,36.499464737924,19.62772,18.35344,17.53791,17.07885,16.80877,4504,1,145,2.3678863095124726e+18,GALAXY,0.165787,2103,53467,432
38603,252.379053234876,24.1267068243218,21.99397,20.58717,18.89607,18.28791,17.98838,3926,6,184,4.707497557051595e+18,GALAXY,0.3608387,4181,55685,400
91657,200.03795697871,2.52179482509786,19.55802,17.86654,16.70257,16.20559,15.78229,1462,4,498,5.923536819160617e+17,GALAXY,0.151549,526,52312,474
62786,238.927222019023,25.3828835006802,20.09132,18.3892,17.47311,17.05602,16.6855,3900,2,688,1.8634355983086e+18,GALAXY,0.1152323,1655,53523,259
84340,0.502570428119327,0.358383759250699,17.78275,16.67649,16.29463,16.16532,16.1391,4874,4,424,1.228515451605117e+18,STAR,-0.0001314857,1091,52902,577
39874,352.718413782369,19.802757095282,21.23485,20.701,20.30668,20.23724,20.48586,8096,4,182,8.561375718654893e+18,QSO,0.9411111,7604,56947,119
78468,176.266304018128,40.5047152589545,22.3224,20.40079,18.83887,18.20097,17.80262,4469,5,404,5.289559495424629e+18,GALAXY,0.2895246,4698,55623,297
31631,6.9329551269297,19.4950913206566,25.64476,24.11828,21.72933,20.50967,19.80719,8096,2,271,8.544555389756397e+18,GALAXY,0.7046524,7589,56946,367
14952,124.942402855895,50.9367591627111,25.85652,22.75097,21.14702,20.18319,19.46231,1402,4,139,8.229423263362865e+18,GALAXY,0.5229195,7309,56991,803
39331,216.674597709696,-1.14927471435076,18.78111,17.81197,17.351,17.10424,16.91844,2379,6,50,3.434272613172777e+17,GALAXY,0.03064971,305,51613,101
48587,141.107413247549,4.62959878322225,18.09324,16.36607,15.54711,15.11706,14.79976,2125,6,149,1.115780596992338e+18,GALAXY,0.0656288,991,52707,50
83594,342.16654713051,27.2890977346284,24.27582,23.5023,21.91557,20.6202,19.73923,8116,2,124,8.620078651021744e+18,STAR,-0.0002700159,7656,57338,687
41487,23.2920923133448,18.5878981266074,23.27826,22.29958,21.32804,20.9311,20.76536,7913,2,105,8.159523454770763e+18,GALAXY,0.5512651,7247,56626,461
39627,211.827253939744,44.2897086363194,24.7012,21.44895,19.47884,18.68704,18.34719,3699,4,147,6.817430690935888e+18,GALAXY,0.4143706,6055,56102,388
87894,253.518191798942,47.7361930157013,20.67638,20.14276,19.98505,19.69156,19.68916,4682,2,168,9.067999344796653e+18,QSO,1.732649,8054,57194,5
26303,227.236442160492,52.312197730326,18.85133,17.92512,17.57913,17.47823,17.4156,3225,4,113,9.453061521771092e+18,STAR,-0.0004753989,8396,57837,21
67403,240.462981790011,14.6408176762223,20.43972,18.45107,17.32748,16.87284,16.47397,4678,3,260,2.8384113334713324e+18,GALAXY,0.140841,2521,54538,64
98084,246.742341959088,34.3494216061417,23.22951,20.32641,18.82489,18.25906,17.91722,3177,4,257,1.190081466525051e+18,GALAXY,0.2701176,1057,52522,19
95601,217.975645723566,-0.400254496038496,23.8397,22.00645,20.21372,19.139,18.74048,752,3,497,4.531871184737032e+18,GALAXY,0.5438425,4025,55350,451
5019,167.290518451478,56.6877893015797,21.36045,20.90425,20.91023,20.89467,20.5591,3697,5,25,7.99524624765212e+18,QSO,2.428957,7101,56659,840
5223,105.404390038824,39.5165433514883,20.03037,18.51312,17.91551,17.66496,17.5659,6573,5,162,3.307990484382673e+18,STAR,-0.0001074257,2938,54526,351
15780,240.698006569789,60.9651189274966,22.44165,22.08775,20.45077,19.45516,19.03995,6162,2,76,7.654078506872363e+18,GALAXY,0.53121,6798,56485,767
45556,134.259680720839,-0.820094439351321,23.55707,21.25093,20.71259,20.06273,19.82398,1239,2,93,4.295369810152544e+18,QSO,2.936361,3815,55537,224
12896,133.478406970696,31.8775122521419,23.73998,22.86137,22.5308,21.69795,22.60199,3606,3,66,1.1747800568139373e+19,GALAXY,0.9508104,10434,58140,585
34304,138.287519516786,46.1526479657377,22.73622,21.87486,21.70944,21.94828,21.3437,2825,2,212,8.463581578131692e+18,QSO,2.459792,7517,56772,698
93322,15.352324548902,0.381865571003207,19.78027,17.80642,16.81664,16.36516,16.01776,4858,4,457,7.803819890426778e+17,GALAXY,0.09370228,693,52254,485
5324,318.054445284073,4.01888494827323,23.45135,23.05718,21.27308,20.2211,19.54674,5655,1,77,1.2739708494858705e+19,GALAXY,0.5986559,11315,58402,549
52925,115.458947624939,19.4896031883957,22.21542,21.94818,21.51789,20.66454,20.09592,3560,4,39,1.0081408771102628e+19,GALAXY,0.781765,8954,57453,367
62864,232.530161291697,12.3185955098288,24.31866,22.65682,21.29885,19.76356,19.38139,5322,4,152,5.506935145155025e+18,GALAXY,0.621707,4891,55736,577
8018,222.067615825523,46.0973535524061,21.06952,20.72522,20.64952,20.94172,21.08137,3918,3,171,9.557881532720634e+18,QSO,1.55263,8489,57483,426
82944,120.085213639279,21.5623316527114,19.70242,18.44586,17.7684,17.42302,17.16891,3560,1,70,1.7824461117980938e+18,GALAXY,0.1489073,1583,52941,533
90376,109.521576578942,38.6713155334529,19.54312,17.59217,16.7408,16.40775,16.22847,4233,4,19,3.608566457371304e+18,STAR,-5.635457e-05,3205,54848,208
41720,335.418950356082,13.3271067414345,22.90152,23.04335,21.01657,19.6561,18.98187,2507,4,124,5.676872365822466e+18,GALAXY,0.7326641,5042,55856,309
866,9.36926763870599,30.906168189059,21.7879,20.88168,20.16316,19.44708,18.91866,8116,6,284,7.347644067428456e+18,GALAXY,0.666055,6526,56543,77
98443,343.029128258312,25.3976004377915,22.62426,21.49133,21.49209,21.33161,21.14779,8109,3,127,7.087570259801298e+18,STAR,-0.001441818,6295,56536,110
83039,332.450659975679,20.7958300764541,24.40723,21.3195,21.02011,20.88708,20.79737,7708,2,34,5.653404114878749e+18,STAR,-0.0009783349,5021,55863,948
13924,161.058193877075,22.7262954008784,15.76259,14.88128,14.49331,14.32901,14.15422,5137,3,315,7.235258307522614e+18,GALAXY,0.01959509,6426,56334,820
79892,0.469910678350686,12.7172865633923,20.23305,18.05852,16.76784,16.22682,15.84874,7773,4,313,6.925684210494888e+18,GALAXY,0.1694358,6151,56265,996
31183,344.983942048273,1.64304675086545,21.29695,20.78273,20.43822,20.22952,19.85112,7717,2,229,1.0327009716484725e+19,QSO,2.021147,9172,58015,930
13799,257.356045625981,39.2547920866634,25.78763,22.66765,20.34498,19.39927,18.92813,4011,3,194,5.611592710727424e+18,GALAXY,0.3675069,4984,55827,391
40988,116.336354228351,50.7888797798963,23.63928,20.99891,20.4703,20.25577,20.14408,4264,5,99,2.104393568247376e+18,GALAXY,0.4772385,1869,53327,315
66733,196.05547270582,18.4493091826044,23.847,22.94947,21.38268,20.16391,19.81683,5314,1,126,6.601308760228256e+18,GALAXY,0.6389248,5863,56042,573
78330,316.079587791424,10.5512268501519,21.07403,18.95795,17.80321,17.31792,16.9523,1754,5,47,8.18656812650752e+17,GALAXY,0.1571081,727,52207,464
24378,165.617085173269,59.280659601322,24.63466,23.75071,21.82231,21.73886,22.38972,2987,5,87,9.2145639737936e+18,STAR,-0.0001123925,8184,57426,724
23414,156.372947977497,7.17736353662962,19.35201,17.76977,16.91543,16.42807,16.0999,2986,5,253,1.1238056582069882e+18,GALAXY,0.08584154,998,52750,573
97559,159.043259886024,38.2129437484263,22.16104,20.46618,18.85264,18.24081,17.89738,3704,1,168,5.217558251407956e+18,GALAXY,0.3572398,4634,55626,502
22992,253.15523215512,22.8637350419142,21.05033,19.93135,19.49095,19.31393,19.27954,3926,5,193,2.46690532241391e+18,STAR,-0.0003146576,2191,54621,213
3231,227.292897608639,2.68494116233159,22.36829,20.05565,18.47987,17.9405,17.56013,1458,5,684,4.51843543220436e+18,GALAXY,0.3090529,4013,55629,724
41995,189.705827042726,3.23490326244088,20.55275,18.44728,17.44161,16.93628,16.50861,1458,5,433,5.867118131109171e+17,GALAXY,0.08532096,521,52326,429
49187,30.6136918785097,2.39701766371139,23.94539,24.67239,23.98289,22.4966,22.5379,7717,4,534,1.0569054558398732e+19,GALAXY,1.004615,9387,58101,844
22514,253.737238012012,21.0626876993606,25.25821,23.6987,21.30559,19.91954,19.30046,3926,3,204,4.704109686311639e+18,GALAXY,0.6195417,4178,55653,363
