Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
9.17,5.19,1.51,0.546,F5V,17.745836,1
8.02,7.52,0.69,0.349,F0III/IV,17.401089,1
10.44,1.29,1.77,0.34,A1V,15.992949,1
7.38,4.12,0.91,0.996,K0III,15.454486,0
7.82,2.43,0.71,0.182,A5V,14.748032,1
6.03,24.72,0.54,0.382,F2V,17.995241,1
9.02,2.36,1.09,0.947,K0III,15.88456,0
9.46,1.28,1.41,0.94,G6/G8III/IV,14.99605,1
6.3,3.4,0.83,1.34,K2III,13.957395,0
6.01,25.71,1.73,0.549,F7V+...,18.06051,1
8.63,4.42,1.32,1.194,K1/K2III/IV,16.857111,1
9.22,2.87,1.09,0.993,K0III,16.50941,0
7.56,5.48,1.03,1.14,K1III,16.253902,0
5.63,12.15,0.87,0.214,A9IV:,16.05288,1
8.64,-0.2,1.34,1.219,K2III,10.14515,0
6.89,5.9,0.84,1.03,K1III,15.744261,0
6.62,4.63,2.36,0.478,A7/8V + G,14.947905,1
6.85,8.21,0.91,1.028,G8III,16.421715,0
8.53,6.13,0.69,0.848,G8V,17.467302,1
7.72,7.74,0.91,0.701,F8V,17.163704,1
7.88,5.3,0.81,0.72,G3IV/V,16.501379,1
8.74,3.12,1.02,0.349,F2IV/V,16.210773,1
7.88,22.7,0.99,0.716,G5V,19.66013,1
8.54,2.5,1.15,1.31,K2III,15.5297,0
8.69,8.41,1.32,0.575,G3V,18.31398,1
6.82,5.58,0.67,0.962,G8III,15.553171,0
7.62,2.53,0.89,1.56,K5III...,14.635603,0
8.34,5.97,1.0,0.973,K0IIICN...,17.219872,0
6.88,0.22,0.99,1.631,M1III,8.5921135,0
7.99,8.04,0.7,0.907,K0III,17.516281,0
6.57,6.49,0.88,0.921,K0III,15.631224,0
6.59,8.71,0.86,1.102,K2III,16.29009,0
7.94,11.59,0.91,0.383,F0III,18.260418,0
7.78,9.33,1.68,0.459,F5/F6V,17.629408,1
10.42,1.86,2.08,0.509,F3/F5V,16.767565,1
11.54,21.7,3.39,1.34,K7V:,23.222298,1
7.91,2.65,1.01,1.23,K1III,15.02623,0
7.17,5.08,0.79,1.352,K4III,15.699319,0
9.05,4.72,0.91,0.491,F5V,17.41971,1
8.28,5.82,1.28,0.902,G8III/IV,17.104614,1
8.78,9.04,1.83,0.9,K2III:,18.56084,0
9.42,32.77,1.71,1.163,K4III,21.997383,0
4.26,4.43,0.8,0.012,B7III,12.49202,0
9.16,7.35,1.28,0.504,F5V,18.491436,1
5.13,7.98,0.71,-0.128,B7III-IV,14.640015,1
8.53,20.29,0.93,0.705,G6V,20.06641,1
9.51,1.2,1.35,1.2,K1/K2III:,14.905907,0
7.39,13.03,0.69,0.397,F2/F3IV/V,17.964722,1
8.53,0.3,0.86,1.315,K3II/III,10.9156065,0
8.3,1.75,1.01,1.171,K1/K2III,14.51519,0
9.23,8.23,0.88,0.633,F7V,18.807,1
8.78,0.42,1.36,1.315,K1III,11.896246,0
9.41,4.25,1.36,1.31,K2/K3III:,17.551945,0
6.91,3.69,0.8,1.123,K0III,14.7451315,0
5.72,3.82,0.92,1.545,M0III,13.630318,0
8.07,5.78,0.7,0.328,F0II/III,16.879639,0
9.03,4.74,0.88,1.096,K1III,17.408892,0
8.93,16.39,1.48,0.677,G5V,20.002895,1
7.08,4.11,0.94,1.641,M0III,15.149209,0
4.66,42.35,0.87,0.333,F3III,17.794268,0
6.97,3.21,0.6,1.377,K3III,14.502525,0
10.1,8.64,2.25,0.67,G8V,19.78257,1
8.74,-0.73,1.49,1.021,G8III/IV,13.056614,1
8.26,0.97,1.15,1.113,K1/K2III,13.193859,0
7.6,1.47,0.84,0.101,B8III,13.436586,0
9.73,10.37,2.67,0.773,G8V,19.808893,1
9.22,4.29,0.87,0.627,G1IV,17.382286,1
8.27,3.84,1.11,1.087,K0III,16.191658,0
9.31,13.63,1.25,0.733,G8IV/V,19.98248,1
8.57,6.08,1.18,0.301,A8V,17.489517,1
7.66,9.2,0.84,0.308,A8IV+...,17.47894,1
6.58,3.84,0.75,0.021,B9V,14.501657,1
7.41,-0.08,0.94,1.52,K5II,6.92545,0
7.26,5.48,0.82,1.061,K0III,15.953903,0
9.25,7.58,1.17,0.3,A3II/IIIp..,18.648346,0
5.66,4.29,0.7,-0.113,B5V...,13.822287,1
9.69,7.74,0.95,0.72,G2V:,19.133705,1
6.92,4.14,0.8,1.383,K3III,15.005002,0
8.48,0.95,1.03,1.461,K1V,13.368618,1
9.93,4.25,2.39,0.539,G2V,18.071945,1
7.48,1.23,0.94,1.614,K5III,12.929525,0
6.11,6.65,0.52,0.265,A7IV,15.224108,1
5.51,27.55,0.74,0.321,F0V,17.71061,1
6.99,1.37,0.82,1.625,K5III,12.673603,0
7.99,2.83,0.91,1.58,M1III,15.248932,0
9.27,2.77,1.26,1.007,K1III,16.482399,0
8.15,5.91,0.96,0.029,A1V,17.007938,1
9.56,9.64,1.47,0.61,G3V,19.480385,1
8.86,10.31,1.31,0.575,G2V,18.926292,1
5.3,9.47,0.81,0.891,G8III,15.18175,0
9.03,1.65,1.2,0.972,G8IV,15.11742,1
8.68,2.26,1.35,1.238,K1/K2III,15.450542,0
8.54,1.94,0.91,1.618,M0III,14.979009,0
8.25,4.25,1.14,0.38,F3III,16.391945,0
9.71,0.87,1.53,0.915,G8IV/V,14.407597,1
8.21,1.61,1.24,1.059,K1III...,14.244129,0
7.25,9.84,0.87,0.84,G8IV,17.214975,1
9.98,0.82,1.84,0.439,F3V,14.549068,1
7.39,1.3,0.84,1.579,M3III,12.959717,0
9.67,4.54,1.32,0.43,F2V,17.95528,1
9.54,8.02,2.04,0.6,G3V,19.060871,1
8.68,10.95,0.9,0.463,F5V,18.877071,1
6.1,7.42,0.79,1.028,K2III,15.452019,0
9.33,3.04,1.37,0.977,G8III,16.744368,0
8.47,2.37,1.2,2.155,M2Iab,15.343742,0
7.98,3.78,1.05,1.061,K0III,15.867458,0
6.52,6.46,0.86,0.987,K0III,15.571163,0
8.57,22.9,0.93,0.695,G6V,20.369179,1
9.68,6.87,1.5,0.455,F2IV/V,18.864784,1
7.89,0.97,0.93,0.457,B3Ia,12.823858,0
9.37,8.68,0.99,0.581,F7V,19.0626,1
10.06,46.22,4.48,1.365,K7V,23.384151,1
9.2,3.16,1.23,1.23,K2/K3III,16.698435,0
9.04,4.73,0.94,0.47,F5V,17.414307,1
5.55,6.56,0.71,1.262,K1III,14.63452,0
8.93,0.81,0.91,1.573,K3/K4III,13.472425,0
8.71,2.73,1.34,1.106,K1III,15.890814,0
7.0,9.36,0.88,0.534,F7IV,16.856379,1
8.88,6.17,1.24,0.605,F8V,17.831425,1
7.11,4.93,0.59,1.187,K1/K2III,15.574234,0
7.94,0.44,0.77,1.435,K4III,11.157263,0
5.53,5.84,0.61,1.615,M2III,14.362064,0
6.82,-0.52,0.79,1.151,G2Ib,10.400017,0
8.01,1.79,0.95,1.525,M3III,14.274265,0
8.92,1.42,1.22,1.093,K0III,14.681442,0
8.34,3.86,2.85,0.158,B9IV,16.272938,1
9.1,1.71,1.01,1.438,K3III:,15.26498,0
9.02,3.93,1.23,1.003,G8/K0IVp...,16.991962,1
8.99,6.21,1.28,0.548,F7V,17.955458,1
6.97,3.08,0.71,1.52,K7Iab:,14.412753,0
9.28,4.91,1.26,0.569,G0V,17.735409,1
8.12,4.8,0.97,0.93,K1III...,16.526207,0
6.69,7.47,0.81,0.999,K0III,16.056602,0
10.23,10.07,1.85,0.786,G6/G8V:,20.245146,1
8.56,4.15,0.88,0.095,A0V,16.650242,1
8.09,3.38,1.13,1.125,K1IIICN...,15.734584,0
9.09,7.24,1.33,0.722,G5V,18.388693,1
9.15,27.05,1.23,0.887,K2V,21.310837,1
7.92,20.24,1.19,0.991,K0IV,19.451054,1
7.66,20.44,0.96,0.741,G5IV,19.212406,1
8.21,1.93,0.87,1.565,M0/M1III,14.637787,0
10.21,4.21,1.64,0.628,G3/G5V,18.33141,1
8.84,1.79,0.84,1.496,K5III,15.104265,0
5.94,10.57,0.72,0.975,K0III,16.060375,0
8.47,8.4,1.63,0.407,F0V,18.091396,1
9.33,6.77,1.38,0.48,F3/F5V,18.482944,1
8.13,8.41,0.8,0.471,F3/F5V,17.753979,1
8.28,2.6,0.94,1.032,G9III,15.354866,0
7.66,1.53,0.99,1.405,K3III,13.583457,0
9.27,3.45,0.98,1.065,K0III,16.959095,0
7.0,20.28,0.82,0.545,F7V,18.53534,1
9.02,2.37,1.23,0.958,G8III,15.893742,0
6.42,4.7,0.87,1.241,K0IV,14.78049,1
8.88,1.24,1.13,0.428,F2V,14.347109,1
9.23,6.04,0.96,0.508,F5V,18.135185,1
9.32,1.27,0.9,-0.154,B5III,14.839018,0
8.25,6.94,1.03,0.927,K0III,17.456799,0
9.6,7.92,1.55,0.549,G0V,19.093626,1
8.56,2.27,1.05,1.134,K1/K2III,15.34013,0
7.04,2.9,0.84,1.428,K4III,14.35199,0
8.2,0.25,1.18,1.308,K2/K3III,10.189699,0
9.28,1.4,1.24,0.16,B8III,15.01064,0
5.51,27.84,0.88,0.334,F0III-IV,17.733347,1
8.22,9.24,0.74,0.52,G0V,18.048359,1
9.07,8.41,1.26,0.502,F8IV,18.69398,1
6.21,3.89,0.82,1.482,M0III,14.159748,0
7.91,0.86,0.65,1.131,G8III,12.582492,0
7.95,7.46,1.15,0.317,F0IV/V,17.313694,1
8.67,2.2,1.11,1.144,K0III,15.382113,0
8.53,15.24,0.79,0.647,G5V,19.444923,1
8.94,4.65,1.15,1.532,M6III,17.277264,0
8.88,2.54,1.01,0.0,A1V,15.904169,1
8.05,8.64,0.75,1.072,K1III,17.732569,0
8.12,2.36,0.94,1.496,M0III,14.98456,0
8.58,7.86,1.11,0.417,F2IV/V,18.057114,1
7.17,27.36,0.93,0.593,G0V,19.355581,1
8.26,2.2,0.8,1.579,K5/M0III,14.972114,0
9.11,7.26,1.3,0.458,F5IV/V,18.414684,1
7.83,6.13,0.98,0.918,G8III,16.767303,0
8.94,2.91,1.22,1.137,K2III,16.259464,0
6.49,1.1,0.68,0.776,A6Iab,11.696963,0
11.14,1.86,2.09,0.041,A0V,17.487564,1
9.2,8.8,0.9,0.573,G0V,18.922413,1
9.11,6.69,0.9,0.753,G5V,18.23713,1
8.98,0.78,1.4,1.6,K5/M0III,13.440473,0
8.9,2.69,0.84,1.15,K0III,16.048761,0
8.97,13.64,1.3,0.564,F7V,19.644072,1
6.8,0.49,0.71,2.02,M2II:,10.25098,0
10.17,2.69,1.46,0.472,F3IV/V,17.318762,1
8.56,-2.25,1.22,1.477,K3III,15.320913,0
9.33,1.86,1.32,0.488,F5V,15.677565,1
3.74,12.59,0.85,1.136,K2III,14.240128,0
8.17,3.12,1.01,1.048,K0III,15.640773,0
8.43,3.65,0.75,0.616,F7IV,16.241465,1
9.35,3.19,1.39,0.36,F0V,16.868954,1
8.3,0.39,1.06,0.382,B0.5III,11.255323,0
8.33,2.81,1.11,1.099,K0III,15.573532,0
8.82,1.43,1.26,1.311,K2III,14.59668,0
6.32,26.59,0.85,0.517,F7V,18.443592,1
8.75,2.49,0.83,1.252,K2IIICN...,15.730997,0
8.54,4.59,1.04,0.23,A7V,16.849064,1
7.62,4.76,0.94,1.148,K0III,16.008034,0
10.06,3.8,1.02,0.716,F8IV/V,17.95892,1
9.74,8.67,1.46,0.569,G0V,19.430096,1
8.4,3.45,0.79,0.977,G8III,16.089096,0
8.01,1.03,1.19,1.073,K0III,13.074186,0
9.66,14.15,1.66,0.684,G5V,20.413782,1
